Name, Calorie, Protein, Carb, Fat, Quantity

Adana Kebab, 130, 7, 15, 5, 100
Anchovy, 131, 20, 0, 5, 100
Apple, 52, 0.3, 14, 0.2, 100
Apple Crumble, 161, 1.8, 31, 3.4, 100
Ayran, 22, 2.5, 2.7, 0.2, 100
Aytac Yogurt, 129, 4, 5, 10, 100
Baked Potato, 93, 2.5, 21, 0.1, 100
Baklava, 428, 6.7, 37.6, 29, 100
Bamya, 130, 8, 7.8, 7.8, 100
Banana, 89, 1.1, 23, 0.3, 100
Batchleros Pasta n Sauce Tomato, 116, 4.1, 22.6, 0.7, 100
Battered Fish, 200, 16.7, 6.7, 11.3, 100
BBQ Sauce, 171, 0.9, 39.6, 0.2, 100
Beans, 78, 4.7, 12.5, 0.2, 100
Beef Liver Stew, 170, 26, 5, 5, 100
Beef Mince, 330, 14, 0, 30, 100
Bulgur, 83, 3.1, 19, 0.2, 100
Cacik, 120, 6.1, 14.9, 4.95, 100
Cereal, 379, 13, 68, 7, 100
Cheese Baked Pasta, 170, 10.2, 12.2, 8.6, 100
Cheese baked sauced pasta, 532, 26.6, 48, 16.2, 100
Cheese Borek, 259, 10.1, 33, 9.1, 100
Cheese Lasagna, 150, 7.7, 19, 4, 100
Cheese Pogaca, 94, 2.6, 7.4, 6, 30
Chicen Nuggets, 296, 15, 14, 20, 100
Chicken Breast, 165, 31, 0, 3.6, 100
Chicken Breast Stewed, 182, 27.1, 0, 7.3, 100
Chicken Doner, 400, 28, 20, 27, 100
Chicken Drumstick, 214, 26, 0, 11, 100
Chicken Leg, 230, 25.7, 0, 13.3, 100
Chicken minced, 240, 27, 0, 14, 100
Chicken Soup, 40, 2.5, 3.5, 1, 100
Chicken Strips, 300, 18, 16, 18, 100
Chicken Thigh, 209, 27.2, 0, 11, 100
Chicken Thigh Fried, 270, 22, 9, 15, 100
Chicken Thigh Stewed, 232, 23, 0, 15, 100
Chicken Wing, 80, 7.5, 0, 6, 40
Chilli Sauce, 65, 2.8, 9.8, 0.6, 100
Chocolate Cake, 370, 5, 53, 15, 100
Chocolate Cheesecake, 360, 6.3, 41.7, 19.5, 100
Chocolate Ice Cream, 215, 4, 28, 11, 100
Cig Kofte No Meat, 240, 8, 40, 3, 100
Cig Kofte With Meat, 330, 15, 55, 10, 100
Cod Fish, 122, 20.9, 0.4, 3.5, 100
Coleslaw, 181, 0.8, 5.4, 17, 100
Corn Rob, 106, 3.1, 22, 2.4, 100
Cornetto, 310, 3.1, 35, 17, 100
Custard, 122, 4, 18, 4, 100
Dolma, 170, 13, 17, 6, 100
Egg, 75, 6, 0.6, 5, 50
Emmental Cheese, 116, 9.2, 0.5, 8.9, 30
Etli Turlu, 131, 4.5, 7.4, 9.8, 100
Full Fat Soft Cheese, 70, 1.7, 1.2, 6.5, 30
Garlic Sauce, 247, 1, 7.2, 23.7, 100
Grated Cheese, 127, 7.6, 0.5, 10.5, 30
Grilled Chicken, 237, 27, 0, 13.5, 100
Honey, 304, 0.3, 82, 0, 100
Humus, 278, 6.7, 10.6, 22, 100
Icli Kofte, 320, 11, 23, 23, 100
Kavurma, 265, 27.7, 2.1, 16.2, 100
Ketchup, 112, 1.3, 26, 0.2, 100
Kisir, 150, 4, 22, 7, 100
Kiymali Borek, 250, 10, 25, 10, 60
Kofte, 100, 6, 3, 10, 50
Krave Cereal, 135, 2.1, 20, 4.8, 30
Kuru patlican Dolmasi, 99, 8.2, 4, 5.7, 100
Lahmacun, 150, 6, 21, 4, 100
Lamb Chop , 215, 28, 0, 10.4, 100
Lamb Doner, 350, 15, 20, 30, 100
Lamb Leg, 230, 18, 0, 17, 100
Lamb Ribs, 351, 23, 0, 28, 100
Lamb Shoulder, 260, 17, 0, 21, 100
Lavas, 300, 10, 45, 6, 100
Light Mayonnaise, 267, 0.7, 6.1, 27, 100
Low Fat Yoghurt, 63, 5.2, 7, 1.55, 100
Mackerel Curry Sauce, 242, 14.1, 3.3, 19, 100
Mackerel Mexican Sauce, 203, 16.4, 4, 13.1, 100
Mackerel Spicy Tomato Sauce, 220, 12.1, 4.6, 16.9, 100
Mackerel Sunflower Oil, 266, 19.7, 0.1, 20.8, 100
Mackerel Sweet Chilli, 198, 13, 4.6, 14, 100
Mackerel Teriyaki Sauce, 254, 12.6, 13.4, 16.2, 100
Magnum, 309, 3.6, 29, 19, 100
Manti, 240, 10, 26, 10, 100
Mashed Potato, 88, 1.7, 15, 2.8, 100
Meaty Lasagna , 165, 9.9, 17, 6, 100
Mercimek Corbasi, 56, 3.7, 8, 1.1, 100
Mercimek Koftesi, 215, 6, 20, 13, 100
Mozarella Cheese, 280, 28, 3.1, 17, 100
Muhlama, 219, 6.8, 24, 11, 100
Nar Eksisi, 118, 0.5, 30.1, 0, 100
Nohut, 153, 8.65, 19.3, 3.5, 120
Nuts, 607, 20, 21, 54, 100
Oats, 389, 16.9, 66.3, 6.9, 100
Olive Oil, 823, 0, 0, 91.5, 100
Onion Chicken Noodles, 335, 7.7, 49.4, 11.4, 75
Palamut, 130, 25.8, 0, 2, 100
Pasta, 131, 5, 25, 1, 100
Pastirma, 160, 30, 2, 3, 100
Patatesli Borek, 230, 5, 35, 7, 100
Pizza Slice, 260, 11, 33, 11, 100
Potato Salad, 140, 3, 11, 8, 100
Protein Flapjack, 264, 18.75, 34, 8.3, 75
Rice, 130, 3, 28, 0.5, 100
Roasted Whole Chicken with Skin, 269, 30.7, 0, 15, 110
Sainsburys iced ring doughnut, 383, 7, 46, 18.4, 100
Salad, 20, 0.9, 3.8, 0.2, 100
Salam, 250, 13.1, 2.25, 20.1, 100
Salmon Fillet, 200, 25, 0, 12, 100
Salmon Paste, 184, 12.4, 7.2, 11.7, 100
Sarma, 140, 2, 16, 7, 100
Sea bass fish, 124, 24, 0, 2.6, 100
Sea Bream, 96, 17.5, 0, 2.9, 100
Semi Skimmed Milk, 50, 3.3, 4.8, 2, 100
Simit, 277, 8.2, 50, 4.6, 100
Small double KitKat Bars, 106, 1.1, 12.9, 5.3, 25
Sosis, 204, 12, 3, 16, 100
Strawberry Cheesecake, 260, 3.6, 31.4, 13, 100
Su borek, 275, 8.6, 30, 13.2, 120
Sucuk, 400, 18.2, 1.5, 35.4, 100
Syntha Protein Shake, 150, 24, 6, 3.5, 40
Tartar Sauce, 42, 0.5, 2.3, 3.6, 15
Tofurky Vegan Sausage, 167, 18.3, 2.5, 8.2, 63
Tomato Soup, 30, 1, 7, 1, 100
Tuna tin, 120, 27, 0, 0.5, 100
Uncle Bens Golden Veg Rice, 191, 4.1, 36.9, 2.8, 125
Vanilla Ice Cream, 210, 3.5, 24, 11, 100
Wrap Bread, 305, 7.9, 50.6, 7.2, 100
Yogurt corbasi, 65, 1.8, 5.2, 4.1, 100
Yogurt Soup, 65, 2, 5, 4, 100
Zeytinyagli Yesil Fasulye, 85, 5.2, 15.2, 0.28, 100
---------------------------------
Backup Generated at : 11/09/2019 00:09:21
---------------------------------
